DateTime,SeaLevelPressure.mbar
08/19/2016 18:00 UTC,1013.4963
08/19/2016 18:05 UTC,1013.4896
08/19/2016 18:10 UTC,1013.4896
08/19/2016 18:15 UTC,1013.4896
08/19/2016 18:20 UTC,1013.4896
08/19/2016 18:25 UTC,1013.4896
08/19/2016 18:30 UTC,1013.4896
08/19/2016 18:40 UTC,1013.4896
08/19/2016 18:45 UTC,1013.1444
08/19/2016 18:53 UTC,1013.1377
08/19/2016 18:55 UTC,1013.1377
08/19/2016 19:00 UTC,1013.1377
08/19/2016 19:05 UTC,1013.1377
08/19/2016 19:10 UTC,1013.1377
08/19/2016 19:15 UTC,1013.1444
08/19/2016 19:20 UTC,1013.1377
08/19/2016 19:25 UTC,1012.7992
08/19/2016 19:30 UTC,1012.7992
